"LOB","Claim_Number","Claimant_Sequence","Party_Update","Coverage_Code_Detail","Claim_Type","ref_claim_number"
CA,2776618,2,"3rd Party",Prop Damage,AL,"2776618-2"
CA,2776618,3,"3rd Party",Prop Damage,AL,"2776618-3"
CA,2776736,1,"1st Party",Coll,APD,"2776736-1"
CA,2776736,2,"3rd Party",Prop Damage,AL,"2776736-2"
CA,2776736,3,"3rd Party",Prop Damage,AL,"2776736-3"
CA,2776790,1,"1st Party",Comp ,APD,"2776790-1"
CA,2776947,1,"1st Party",Comp ,APD,"2776947-1"
CA,2776947,2,"1st Party",Prop Damage,APD,"2776947-2"
CA,2777036,1,"1st Party",Prop Damage,APD,"2777036-1"
CA,2777036,2,"3rd Party",Prop Damage,AL,"2777036-2"
CA,2777361,1,"1st Party",Coll,APD,"2777361-1"
CA,2777361,2,"3rd Party",Coll,AL,"2777361-2"
CA,2777404,1,"1st Party",Prop Damage,APD,"2777404-1"
CA,2777404,2,"3rd Party",Prop Damage,AL,"2777404-2"
CA,2777492,1,"1st Party",Coll,APD,"2777492-1"
CA,2777492,2,"3rd Party",Prop Damage,AL,"2777492-2"
CA,2777521,1,"1st Party",Prop Damage,APD,"2777521-1"
CA,2777521,2,"1st Party",Prop Damage,APD,"2777521-2"
CA,2777669,1,"1st Party",Coll,APD,"2777669-1"
CA,2777669,2,"3rd Party",Prop Damage,AL,"2777669-2"
CA,2777669,3,"3rd Party",Prop Damage,AL,"2777669-3"
CA,2777669,4,"3rd Party",Prop Damage,AL,"2777669-4"
CA,2777669,5,"3rd Party",Prop Damage,AL,"2777669-5"
CA,2777953,1,"1st Party",Coll,APD,"2777953-1"
CA,2777953,2,"3rd Party",Prop Damage,AL,"2777953-2"
CA,2777954,1,"1st Party",Prop Damage,APD,"2777954-1"
CA,2777954,2,"3rd Party",Prop Damage,AL,"2777954-2"
CA,2777954,3,"3rd Party",Uninsured motorist,AL,"2777954-3"
CA,2777954,4,"3rd Party",PIP,AL,"2777954-4"
CA,2778282,1,"3rd Party",Prop Damage,AL,"2778282-1"
CA,2778368,1,"1st Party",Comp ,APD,"2778368-1"
CA,2778372,1,"3rd Party",Prop Damage,AL,"2778372-1"
CA,2778571,1,"3rd Party",Prop Damage,AL,"2778571-1"
CA,2778654,1,"1st Party",Comp ,APD,"2778654-1"
CA,2778654,2,"1st Party",Comp ,APD,"2778654-2"
CA,2778657,1,"3rd Party",Prop Damage,AL,"2778657-1"
CA,2778702,1,"1st Party",Coll,APD,"2778702-1"
CA,2778702,2,"3rd Party",Prop Damage,AL,"2778702-2"
CA,2778702,3,"1st Party",Coll,APD,"2778702-3"
CA,2779179,1,"1st Party",Prop Damage,APD,"2779179-1"
CA,2779179,2,"3rd Party",Prop Damage,AL,"2779179-2"
CA,2779194,1,"1st Party",Coll,APD,"2779194-1"
CA,2779194,2,"3rd Party",Prop Damage,AL,"2779194-2"
CA,2779446,1,"1st Party",Comp ,APD,"2779446-1"
CA,2779534,1,"1st Party",Coll,APD,"2779534-1"
CA,2779534,2,"3rd Party",Prop Damage,AL,"2779534-2"
CA,2779534,3,"3rd Party",Prop Damage,AL,"2779534-3"
CA,2779673,1,"1st Party",Comp ,APD,"2779673-1"
CA,2779679,1,"1st Party",Towing/VMM/Theft,APD,"2779679-1"
CA,2779679,2,"1st Party",Comp ,APD,"2779679-2"
CA,2780242,1,"3rd Party",Prop Damage,AL,"2780242-1"
CA,2780626,1,"1st Party",Coll,APD,"2780626-1"
CA,2780626,2,"3rd Party",Prop Damage,AL,"2780626-2"
CA,2780986,1,"1st Party",Comp ,APD,"2780986-1"
CA,2781126,1,"1st Party",Coll,APD,"2781126-1"
CA,2781291,1,"1st Party",Comp ,APD,"2781291-1"
CA,2781314,1,"1st Party",Prop Damage,APD,"2781314-1"
CA,2781314,2,"3rd Party",Prop Damage,AL,"2781314-2"
CA,2781397,1,"1st Party",Coll,APD,"2781397-1"
CA,2781397,2,"3rd Party",Prop Damage,AL,"2781397-2"
CA,2781762,1,"1st Party",Coll,APD,"2781762-1"
CA,2781762,2,"3rd Party",Prop Damage,AL,"2781762-2"
CA,2782181,1,"1st Party",Coll,APD,"2782181-1"
CA,2782181,2,"3rd Party",Prop Damage,AL,"2782181-2"
CA,2782181,3,"3rd Party",Prop Damage,AL,"2782181-3"
CA,2782257,1,"1st Party",Coll,APD,"2782257-1"
CA,2782257,2,"3rd Party",Prop Damage,AL,"2782257-2"
CA,2782602,1,"1st Party",Coll,APD,"2782602-1"
CA,2782602,2,"3rd Party",Prop Damage,AL,"2782602-2"
CA,2782819,1,"1st Party",Coll,APD,"2782819-1"
CA,2782819,2,"3rd Party",Prop Damage,AL,"2782819-2"
CA,2783036,1,"1st Party",Prop Damage,APD,"2783036-1"
CA,2783036,2,"3rd Party",Prop Damage,AL,"2783036-2"
CA,2783170,1,"3rd Party",Prop Damage,AL,"2783170-1"
CA,2783226,1,"1st Party",Coll,APD,"2783226-1"
CA,2783226,2,"3rd Party",Prop Damage,AL,"2783226-2"
CA,2783226,3,"3rd Party",Prop Damage,AL,"2783226-3"
CA,2783264,1,"3rd Party",Prop Damage,AL,"2783264-1"
CA,2783431,1,"1st Party",Prop Damage,APD,"2783431-1"
CA,2783431,2,"3rd Party",Prop Damage,AL,"2783431-2"
CA,2783792,1,"1st Party",Coll,APD,"2783792-1"
CA,2783792,2,"1st Party",Coll,APD,"2783792-2"
CA,2783792,3,"3rd Party",Prop Damage,AL,"2783792-3"
CA,2784003,1,"1st Party",Coll,APD,"2784003-1"
CA,2784003,2,"3rd Party",Prop Damage,AL,"2784003-2"
CA,2784003,3,"1st Party",UM Bodily Injury,APD,"2784003-3"
CA,2784003,4,"1st Party",Coll,APD,"2784003-4"
CA,2784161,1,"1st Party",Uninsured motorist,APD,"2784161-1"
CA,2784202,1,"1st Party",Coll,APD,"2784202-1"
CA,2784202,2,"3rd Party",Prop Damage,AL,"2784202-2"
CA,2784320,1,"1st Party",Coll,APD,"2784320-1"
CA,2784320,2,"3rd Party",PIP,AL,"2784320-2"
CA,2784320,3,"3rd Party",Prop Damage,AL,"2784320-3"
CA,2784713,1,"1st Party",Prop Damage,APD,"2784713-1"
CA,2784713,2,"3rd Party",Prop Damage,AL,"2784713-2"
CA,2784713,3,"3rd Party",Prop Damage,AL,"2784713-3"
CA,2784713,4,"3rd Party",Prop Damage,AL,"2784713-4"
CA,2784924,1,"1st Party",Prop Damage,APD,"2784924-1"
CA,2784924,2,"3rd Party",Prop Damage,AL,"2784924-2"
CA,2785192,1,"3rd Party",Prop Damage,AL,"2785192-1"
CA,2785192,2,"3rd Party",Prop Damage,AL,"2785192-2"
CA,2785459,1,"1st Party",Prop Damage,APD,"2785459-1"
CA,2785459,2,"3rd Party",Prop Damage,AL,"2785459-2"
CA,2785541,1,"3rd Party",Prop Damage,AL,"2785541-1"
CA,2786159,1,"3rd Party",Coll,AL,"2786159-1"
CA,2786211,1,"1st Party",Prop Damage,APD,"2786211-1"
CA,2786211,2,"3rd Party",Prop Damage,AL,"2786211-2"
CA,2786271,1,"3rd Party",Prop Damage,AL,"2786271-1"
CA,2786355,1,"1st Party",Coll,APD,"2786355-1"
CA,2786355,2,"3rd Party",Prop Damage,AL,"2786355-2"
CA,2786419,1,"1st Party",Comp ,APD,"2786419-1"
CA,2786895,1,"3rd Party",Prop Damage,AL,"2786895-1"
CA,2786895,2,"1st Party",Coll,APD,"2786895-2"
CA,2787075,1,"1st Party",Coll,APD,"2787075-1"
CA,2787075,2,"3rd Party",Prop Damage,AL,"2787075-2"
CA,2787075,3,"3rd Party",Prop Damage,AL,"2787075-3"
CA,2787118,1,"1st Party",Coll,APD,"2787118-1"
CA,2787118,2,"3rd Party",Prop Damage,AL,"2787118-2"
CA,2787118,3,"3rd Party",Coll,AL,"2787118-3"
CA,2787218,1,"1st Party",Coll,APD,"2787218-1"
CA,2787218,2,"3rd Party",Prop Damage,AL,"2787218-2"
CA,2787400,1,"1st Party",Prop Damage,APD,"2787400-1"
CA,2787400,2,"3rd Party",Prop Damage,AL,"2787400-2"
CA,2787410,1,"1st Party",Coll,APD,"2787410-1"
CA,2787410,2,"3rd Party",Prop Damage,AL,"2787410-2"
CA,2787410,3,"1st Party",PIP,APD,"2787410-3"
CA,2787410,4,"3rd Party",Additional Personal Injury Protection,AL,"2787410-4"
CA,2787410,5,"3rd Party",Prop Damage,AL,"2787410-5"
CA,2787425,1,"1st Party",Coll,APD,"2787425-1"
CA,2787425,2,"3rd Party",Prop Damage,AL,"2787425-2"
CA,2788192,1,"1st Party",Prop Damage,APD,"2788192-1"
CA,2788192,2,"3rd Party",Prop Damage,AL,"2788192-2"
CA,2788316,1,"1st Party",Coll,APD,"2788316-1"
CA,2788316,2,"3rd Party",Prop Damage,AL,"2788316-2"
CA,2788316,3,"3rd Party",Prop Damage,AL,"2788316-3"
CA,2788605,1,"1st Party",Prop Damage,APD,"2788605-1"
CA,2788605,2,"3rd Party",Prop Damage,AL,"2788605-2"
CA,2789287,1,"1st Party",Coll,APD,"2789287-1"
CA,2789287,2,"3rd Party",Prop Damage,AL,"2789287-2"
CA,2789287,3,"3rd Party",Prop Damage,AL,"2789287-3"
CA,2789289,1,"3rd Party",Prop Damage,AL,"2789289-1"
CA,2789724,1,"1st Party",Coll,APD,"2789724-1"
CA,2789724,2,"3rd Party",Prop Damage,AL,"2789724-2"
CA,2789724,3,"1st Party",Coll,APD,"2789724-3"
CA,2789828,1,"1st Party",Prop Damage,APD,"2789828-1"
CA,2789828,2,"3rd Party",Prop Damage,AL,"2789828-2"
CA,2789880,1,"3rd Party",Prop Damage,AL,"2789880-1"
CA,2789891,1,"1st Party",Coll,APD,"2789891-1"
CA,2789891,2,"3rd Party",Prop Damage,AL,"2789891-2"
CA,2790055,1,"1st Party",Coll,APD,"2790055-1"
CA,2790055,2,"3rd Party",Prop Damage,AL,"2790055-2"
CA,2790091,1,"3rd Party",Prop Damage,AL,"2790091-1"
CA,2790510,1,"1st Party",Comp ,APD,"2790510-1"
CA,2790891,1,"1st Party",Coll,APD,"2790891-1"
CA,2791116,1,"1st Party",Coll,APD,"2791116-1"
CA,2791116,2,"3rd Party",Prop Damage,AL,"2791116-2"
CA,2791116,3,"3rd Party",Prop Damage,AL,"2791116-3"
CA,2791116,4,"3rd Party",Prop Damage,AL,"2791116-4"
CA,2791116,5,"3rd Party",Prop Damage,AL,"2791116-5"
CA,2791116,6,"3rd Party",Prop Damage,AL,"2791116-6"
CA,2791116,7,"3rd Party",Prop Damage,AL,"2791116-7"
CA,2791116,8,"3rd Party",Prop Damage,AL,"2791116-8"
CA,2791611,1,"3rd Party",Prop Damage,AL,"2791611-1"
CA,2791611,2,"3rd Party",Med Pay,AL,"2791611-2"
CA,2791611,3,"3rd Party",UM Bodily Injury,AL,"2791611-3"
CA,2791790,1,"1st Party",Coll,APD,"2791790-1"
CA,2791790,2,"3rd Party",Prop Damage,AL,"2791790-2"
CA,2791820,1,"1st Party",Coll,APD,"2791820-1"
CA,2791820,2,"3rd Party",Prop Damage,AL,"2791820-2"
CA,2791820,3,"3rd Party",Prop Damage,AL,"2791820-3"
CA,2791820,4,"3rd Party",Prop Damage,AL,"2791820-4"
CA,2791820,5,"3rd Party",Prop Damage,AL,"2791820-5"
CA,2791934,1,"1st Party",Coll,APD,"2791934-1"
CA,2791934,2,"3rd Party",Prop Damage,AL,"2791934-2"
CA,2792003,1,"3rd Party",Prop Damage,AL,"2792003-1"
CA,2792003,2,"3rd Party",Prop Damage,AL,"2792003-2"
CA,2792168,1,"1st Party",Coll,APD,"2792168-1"
CA,2792168,2,"3rd Party",Prop Damage,AL,"2792168-2"
CA,2792856,1,"1st Party",Comp ,APD,"2792856-1"
CA,2792856,2,"1st Party",Towing/VMM/Theft,APD,"2792856-2"
CA,2792856,3,"1st Party",Towing/VMM/Theft,APD,"2792856-3"
CA,2792868,1,"1st Party",Coll,APD,"2792868-1"
CA,2792868,2,"3rd Party",Prop Damage,AL,"2792868-2"
CA,2792999,1,"1st Party",Prop Damage,APD,"2792999-1"
CA,2792999,2,"3rd Party",Prop Damage,AL,"2792999-2"
CA,2793979,1,"1st party",Comp ,APD,"2793979-1"
CA,2793979,2,"1st party",Prop Damage,APD,"2793979-2"
CA,2794058,1,"1st Party",Coll,APD,"2794058-1"
CA,2794058,2,"3rd Party",Prop Damage,AL,"2794058-2"
CA,2794190,1,"1st Party",Prop Damage,APD,"2794190-1"
CA,2794190,2,"3rd Party",Prop Damage,AL,"2794190-2"
CA,2794467,1,"1st Party",Coll,APD,"2794467-1"
CA,2794467,2,"3rd Party",Prop Damage,AL,"2794467-2"
CA,2794604,1,"1st Party",Prop Damage,APD,"2794604-1"
CA,2794604,2,"3rd Party",Prop Damage,AL,"2794604-2"
CA,2794770,1,"3rd Party",Prop Damage,AL,"2794770-1"
CA,2794783,1,"1st Party",Coll,APD,"2794783-1"
CA,2794783,2,"3rd Party",Prop Damage,AL,"2794783-2"
CA,2794831,1,"1st Party",Coll,APD,"2794831-1"
CA,2794831,2,"3rd Party",Coll,AL,"2794831-2"
CA,2794831,3,"3rd Party",Prop Damage,AL,"2794831-3"
CA,2795023,1,"1st Party",Coll,APD,"2795023-1"
CA,2795023,2,"3rd Party",Prop Damage,AL,"2795023-2"
CA,2795023,3,"3rd Party",Prop Damage,AL,"2795023-3"
CA,2795028,1,"1st Party",Prop Damage,APD,"2795028-1"
CA,2795028,2,"3rd Party",Prop Damage,AL,"2795028-2"
CA,2795083,1,"1st Party",Coll,APD,"2795083-1"
CA,2795088,1,"1st Party",Coll,APD,"2795088-1"
CA,2795088,2,"3rd Party",Prop Damage,AL,"2795088-2"
CA,2795088,3,"3rd Party",Prop Damage,AL,"2795088-3"
CA,2795088,4,"3rd Party",Prop Damage,AL,"2795088-4"
CA,2795314,1,"1st Party",Coll,APD,"2795314-1"
CA,2795314,2,"3rd Party",Prop Damage,AL,"2795314-2"
CA,2795672,1,"1st Party",Coll,APD,"2795672-1"
CA,2795672,2,"3rd Party",Prop Damage,AL,"2795672-2"
CA,2795672,3,"3rd Party",Prop Damage,AL,"2795672-3"
CA,2795750,1,"1st Party",Prop Damage,APD,"2795750-1"
CA,2795750,2,"3rd Party",Prop Damage,AL,"2795750-2"
CA,2796495,1,"1st Party",Prop Damage,APD,"2796495-1"
CA,2796675,1,"1st Party",Coll,APD,"2796675-1"
CA,2796675,2,"3rd Party",Prop Damage,AL,"2796675-2"
CA,2796675,3,"3rd Party",Prop Damage,AL,"2796675-3"
CA,2796750,1,"1st Party",Prop Damage,APD,"2796750-1"
CA,2796750,2,"1st Party",Med Pay,APD,"2796750-2"
CA,2796750,3,"3rd Party",Prop Damage,AL,"2796750-3"
CA,2797106,1,"1st Party",Coll,APD,"2797106-1"
CA,2797106,2,"3rd Party",Prop Damage,AL,"2797106-2"
CA,2797106,3,"3rd Party",Prop Damage,AL,"2797106-3"
CA,2797197,1,"1st Party",Prop Damage,APD,"2797197-1"
CA,2797197,2,"3rd Party",Prop Damage,AL,"2797197-2"
CA,2797464,1,"1st Party",Prop Damage,APD,"2797464-1"
CA,2797464,2,"3rd Party",Prop Damage,AL,"2797464-2"
CA,2797464,3,"3rd Party",Prop Damage,AL,"2797464-3"
CA,2797544,1,"1st Party",Coll,APD,"2797544-1"
CA,2797544,2,"3rd Party",Prop Damage,AL,"2797544-2"
CA,2797594,1,"1st Party",Coll,APD,"2797594-1"
CA,2797594,2,"1st Party",Coll,APD,"2797594-2"
CA,2797594,3,"3rd Party",Prop Damage,AL,"2797594-3"
CA,2797594,4,"3rd Party",Uninsured/underinsured motorist,AL,"2797594-4"
CA,2797665,1,"1st Party",Coll,APD,"2797665-1"
CA,2797665,2,"3rd Party",Prop Damage,AL,"2797665-2"
CA,2797928,1,"1st Party",Coll,APD,"2797928-1"
CA,2797928,2,"3rd Party",Prop Damage,AL,"2797928-2"
CA,2797981,1,"1st Party",Coll,APD,"2797981-1"
CA,2797981,2,"3rd Party",Prop Damage,AL,"2797981-2"
CA,2798050,1,"1st Party",Prop Damage,APD,"2798050-1"
CA,2798050,2,"1st Party",Comp ,APD,"2798050-2"
CA,2798050,3,"1st Party",Coll,APD,"2798050-3"
CA,2798074,1,"3rd Party",Prop Damage,AL,"2798074-1"
CA,2798074,2,"1st Party",Prop Damage,APD,"2798074-2"
CA,2798074,3,"3rd Party",Prop Damage,AL,"2798074-3"
CA,2798074,4,"3rd Party",Prop Damage,AL,"2798074-4"
CA,2798806,1,"1st Party",Coll,APD,"2798806-1"
CA,2798806,2,"3rd Party",Prop Damage,AL,"2798806-2"
CA,2798806,3,"3rd Party",Prop Damage,AL,"2798806-3"
CA,2798806,4,"3rd Party",Prop Damage,AL,"2798806-4"
CA,2799165,1,"1st party",Prop Damage,APD,"2799165-1"
CA,2799191,1,"1st Party",Prop Damage,APD,"2799191-1"
CA,2799191,2,"3rd Party",Prop Damage,AL,"2799191-2"
CA,2799349,1,"3rd Party",Prop Damage,AL,"2799349-1"
CA,2799349,2,"3rd Party",Prop Damage,AL,"2799349-2"
CA,2799419,1,"1st Party",Coll,APD,"2799419-1"
CA,2799419,2,"3rd Party",Prop Damage,AL,"2799419-2"
CA,2799724,1,"3rd Party",Prop Damage,AL,"2799724-1"
CA,2799724,2,"1st Party",Coll,APD,"2799724-2"
CA,2799724,3,"3rd Party",Prop Damage,AL,"2799724-3"
CA,2799724,4,"3rd Party",Prop Damage,AL,"2799724-4"
CA,2799846,1,"1st Party",Prop Damage,APD,"2799846-1"
CA,2799846,2,"3rd Party",Prop Damage,AL,"2799846-2"
CA,2800134,1,"1st Party",Coll,APD,"2800134-1"
CA,2800134,2,"3rd Party",Prop Damage,AL,"2800134-2"
CA,2800307,1,"1st Party",Coll,APD,"2800307-1"
CA,2800307,2,"3rd Party",Prop Damage,AL,"2800307-2"
CA,2800680,1,"1st Party",Coll,APD,"2800680-1"
CA,2800680,2,"3rd Party",Prop Damage,AL,"2800680-2"
CA,2800704,1,"3rd Party",Prop Damage,AL,"2800704-1"
CA,2800718,1,"3rd Party",Prop Damage,AL,"2800718-1"
CA,2800814,1,"1st Party",Prop Damage,APD,"2800814-1"
CA,2800814,2,"3rd Party",Prop Damage,AL,"2800814-2"
CA,2805025,1,"3rd Party",Prop Damage,AL,"2805025-1"
CA,2805025,2,"3rd Party",Prop Damage,AL,"2805025-2"
CA,2805050,1,"1st Party",Coll,APD,"2805050-1"
CA,2805050,2,"3rd Party",Prop Damage,AL,"2805050-2"
CA,2805290,1,"3rd Party",Prop Damage,AL,"2805290-1"
CA,2805290,2,"3rd Party",Prop Damage,AL,"2805290-2"
CA,2805295,1,"1st Party",Coll,APD,"2805295-1"
CA,2805295,2,"3rd Party",Prop Damage,AL,"2805295-2"
CA,2805333,1,"3rd Party",Prop Damage,AL,"2805333-1"
CA,2805820,1,"1st Party",Prop Damage,APD,"2805820-1"
CA,2805820,2,"3rd Party",Prop Damage,AL,"2805820-2"
CA,2806188,1,"3rd Party",Property Damage to 3rd Pty vehicle,AL,"2806188-1"
CA,2806583,1,"1st Party",Coll,APD,"2806583-1"
CA,2806583,2,"3rd Party",Prop Damage,AL,"2806583-2"
CA,2806825,1,"1st Party",Prop Damage,APD,"2806825-1"
CA,2806825,2,"3rd Party",Prop Damage,AL,"2806825-2"
CA,2807210,1,"1st Party",Comp ,APD,"2807210-1"
CA,2807499,1,"3rd Party",Prop Damage,AL,"2807499-1"
CA,2807499,2,"3rd Party",Prop Damage,AL,"2807499-2"
CA,2807499,3,"1st Party",Prop Damage,APD,"2807499-3"
CA,2807628,1,"1st Party",Prop Damage,APD,"2807628-1"
CA,2807628,2,"3rd Party",Prop Damage,AL,"2807628-2"
CA,2807887,1,"1st Party",Coll,APD,"2807887-1"
CA,2807887,2,"3rd Party",Comp ,AL,"2807887-2"
CA,2808047,1,"1st Party",Coll,APD,"2808047-1"
CA,2808047,2,"3rd Party",Prop Damage,AL,"2808047-2"
CA,2808047,3,"3rd Party",Prop Damage,AL,"2808047-3"
CA,2808047,4,"1st Party",Coll,APD,"2808047-4"
CA,2808243,1,"3rd Party",Prop Damage,AL,"2808243-1"
CA,2808243,2,"3rd Party",Prop Damage,AL,"2808243-2"
CA,2808349,1,"1st Party",Coll,APD,"2808349-1"
CA,2808349,2,"3rd Party",Prop Damage,AL,"2808349-2"
CA,2808349,3,"3rd Party",Prop Damage,AL,"2808349-3"
CA,2808657,1,"1st Party",Coll,APD,"2808657-1"
CA,2808657,2,"3rd Party",Prop Damage,AL,"2808657-2"
CA,2808805,1,"1st Party",Prop Damage,APD,"2808805-1"
CA,2808805,2,"3rd Party",Prop Damage,AL,"2808805-2"
CA,2808970,1,"1st Party",Comp ,APD,"2808970-1"
CA,2809641,1,"1st Party",Coll,APD,"2809641-1"
CA,2809641,2,"3rd Party",Prop Damage,AL,"2809641-2"
CA,2809713,1,"1st Party",Coll,APD,"2809713-1"
CA,2809795,1,"1st Party",Coll,APD,"2809795-1"
CA,2809795,2,"3rd Party",Coll,AL,"2809795-2"
CA,2809806,1,"1st Party",Coll,APD,"2809806-1"
CA,2809806,2,"3rd Party",Prop Damage,AL,"2809806-2"
CA,2810155,1,"1st Party",Comp ,APD,"2810155-1"
CA,2810162,1,"1st Party",Coll,APD,"2810162-1"
CA,2810162,2,"3rd Party",Prop Damage,AL,"2810162-2"
CA,2810162,3,"3rd Party",Prop Damage,AL,"2810162-3"
CA,2810194,1,"1st Party",Coll,APD,"2810194-1"
CA,2810194,2,"3rd Party",Coll,AL,"2810194-2"
CA,2810364,1,"1st Party",Comp ,APD,"2810364-1"
CA,2810528,1,"1st Party",Prop Damage,APD,"2810528-1"
CA,2810528,2,"3rd Party",Prop Damage,AL,"2810528-2"
CA,2811147,1,"1st Party",Coll,APD,"2811147-1"
CA,2811147,2,"3rd Party",Prop Damage,AL,"2811147-2"
CA,2811279,1,"1st Party",Coll,APD,"2811279-1"
CA,2811279,2,"3rd Party",Prop Damage,AL,"2811279-2"
CA,2811420,1,"1st Party",Coll,APD,"2811420-1"
CA,2811492,1,"1st Party",Coll,APD,"2811492-1"
CA,2811492,2,"3rd Party",Prop Damage,AL,"2811492-2"
CA,2811930,1,"1st Party",Coll,APD,"2811930-1"
CA,2811978,1,"3rd Party",Prop Damage,AL,"2811978-1"
CA,2811978,2,"1st Party",Prop Damage,APD,"2811978-2"
CA,2812012,1,"1st party",Coll,APD,"2812012-1"
CA,2812012,2,"3rd Party",Prop Damage,AL,"2812012-2"
CA,2812012,3,"3rd Party",Prop Damage,AL,"2812012-3"
CA,2812149,1,"1st Party",Comp ,APD,"2812149-1"
CA,2812274,1,"1st Party",Coll,APD,"2812274-1"
CA,2812274,2,"3rd Party",Prop Damage,AL,"2812274-2"
CA,2812274,3,"1st Party",Uninsured/underinsured motorist,APD,"2812274-3"
CA,2812442,1,"3rd Party",Prop Damage,AL,"2812442-1"
CA,2812442,2,"3rd Party",Prop Damage,AL,"2812442-2"
